"","yield"
"LT0001.01",76.9795724366398
"LT0001.02",75.2029172318689
"LT0001.03",77.0216726433812
"LT0001.04",75.2023758930297
"LT0001.05",79.2773721175721
"LT0001.06",77.2425479387875
"LT0001.07",76.4054086079774
"LT0001.08",78.217875571929
"LT0001.09",75.5875504902877
"LT0001.10",75.2420699261284
"LT0001.11",75.3914766769037
"LT0001.12",76.1083246485199
"LT0001.13",72.2381387653298
"LT0001.14",75.9324870525181
"LT0001.15",80.6229895244045
"LT0001.16",77.944680338383
"LT0001.17",77.9292160824658
"LT0001.18",74.9117349980161
"LT0001.19",77.3424464969162
"LT0001.20",77.001637342853
"LT0001.21",71.9387282058889
"LT0001.22",76.4555037035294
"LT0001.23",74.4339497107946
"LT0001.24",78.5471842250775
"LT0001.25",78.8754213353823
"LT0002.01",68.8540172925602
"LT0002.02",64.5110869417309
"LT0002.03",67.9493678802643
"LT0002.04",65.0233564784726
"LT0002.05",61.5587780078935
"LT0002.06",69.3226258389664
"LT0002.07",69.7166841469373
"LT0002.08",70.5033369542157
"LT0002.09",60.2125243611608
"LT0002.10",71.0463058439105
"LT0002.11",65.5280342719157
"LT0002.12",71.3317061539923
"LT0002.13",66.9928313494318
"LT0002.14",66.843042574041
"LT0002.15",63.1854672239244
"LT0002.16",67.3974346842068
"LT0002.17",67.1682413716066
"LT0002.18",61.179121406167
"LT0002.19",66.3312618332837
"LT0002.20",69.2557805113079
"LT0002.21",69.5951615004418
"LT0002.22",61.1821216931241
"LT0002.23",66.3285978713102
"LT0002.24",61.95569098755
"LT0002.25",70.9680140469356
"LT0003.01",77.0656218143085
"LT0003.02",71.5797898743668
"LT0003.03",78.6604146137532
"LT0003.04",73.8602861992548
"LT0003.05",74.5025717743632
"LT0003.06",74.6800138044858
"LT0003.07",72.9442248096431
"LT0003.08",74.6653769949551
"LT0003.09",69.1266880870836
"LT0003.10",75.6099233393127
"LT0003.11",73.2924247913477
"LT0003.12",74.3512746189148
"LT0003.13",73.839284063105
"LT0003.14",70.7908989671814
"LT0003.15",76.5395208545676
"LT0003.16",73.6329113985666
"LT0003.17",72.8382545742856
"LT0003.18",74.1611402403295
"LT0003.19",73.0154981992799
"LT0003.20",73.6694803424591
"LT0003.21",75.9188384845048
"LT0003.22",72.5002177540622
"LT0003.23",71.2393465613418
"LT0003.24",74.9526954242092
"LT0003.25",71.6094623210269
"LT0004.01",67.2171374645184
"LT0004.02",65.1081077804655
"LT0004.03",66.3013466545936
"LT0004.04",64.0588916979503
"LT0004.05",66.9732209957838
"LT0004.06",67.6596562996627
"LT0004.07",66.0152396611255
"LT0004.08",68.0783573354115
"LT0004.09",65.9461636586194
"LT0004.10",65.7261885530077
"LT0004.11",66.1185844179072
"LT0004.12",64.2631758605124
"LT0004.13",64.1376148615249
"LT0004.14",67.7168925480974
"LT0004.15",63.1623751727559
"LT0004.16",62.5245278091954
"LT0004.17",64.861052767147
"LT0004.18",67.5364165897709
"LT0004.19",64.2013073065708
"LT0004.20",68.5167061115236
"LT0004.21",64.3766493357773
"LT0004.22",65.1173675574889
"LT0004.23",67.5453613655785
"LT0004.24",65.1019827663431
"LT0004.25",66.7817346040123
"LT0005.01",73.7175158775595
"LT0005.02",72.3390258669801
"LT0005.03",72.9455048905384
"LT0005.04",69.7751783811897
"LT0005.05",74.5652750161162
"LT0005.06",74.1631268495447
"LT0005.07",72.4371476998091
"LT0006.01",72.9088731169721
"LT0006.02",69.267793821024
"LT0006.03",71.7201132193518
"LT0006.04",74.506480236197
"LT0006.05",73.1172785224708
"LT0006.06",72.4990783257847
"LT0006.07",71.1320936701564
"LT0006.08",72.6136804493531
"LT0006.09",69.7145118545214
"LT0006.10",71.0586205898602
"LT0006.11",71.8227698616211
"LT0006.12",72.9269915368585
"LT0006.13",72.0231592892664
"LT0006.14",72.6697763167358
"LT0006.15",69.998674619816
"LT0006.16",69.7026820419305
"LT0006.17",71.6899500250034
"LT0006.18",70.558866100774
"LT0006.19",73.3515267960904
"LT0006.20",73.0202103157304
"LT0006.21",73.6624145559902
"LT0006.22",74.9447272043777
"LT0006.23",75.1240889089039
"LT0006.24",70.938549596921
"LT0006.25",70.1266400772888
"LT0007.01",77.7895307556393
"LT0007.02",77.3113175110331
"LT0007.03",75.6979000822321
"LT0007.04",73.5276219156142
"LT0007.05",79.8938393224228
"LT0007.06",79.3061418004792
"LT0007.07",81.3941046919198
"LT0007.08",73.5036865932367
"LT0007.09",74.8100523822947
"LT0007.10",76.8284681091372
"LT0007.11",76.4372164520685
"LT0007.12",78.6009550223944
"LT0007.13",75.2406645978008
"LT0007.14",78.3583898320318
"LT0007.15",73.9235184615719
"LT0007.16",75.7119288096615
"LT0007.17",74.5527082383065
"LT0007.18",77.0347449000879
"LT0007.19",76.5828403452995
"LT0007.20",77.1284486462861
"LT0007.21",76.2573454861145
"LT0007.22",78.1246228830037
"LT0007.23",73.6078708858396
"LT0007.24",73.3847740776265
"LT0007.25",74.8858469306766
"LT0008.01",71.9901320115065
"LT0008.02",70.7426877413117
"LT0008.03",74.7265231838914
"LT0008.04",72.1288822278194
"LT0008.05",72.9000811244831
"LT0008.06",69.0221550703532
"LT0008.07",68.2328834563311
"LT0008.08",73.9577415219796
"LT0008.09",69.2933858046139
"LT0008.10",70.1276663582565
"LT0008.11",67.4581544748048
"LT0008.12",70.409653865619
"LT0008.13",71.5600502350527
"LT0008.14",76.8078331359241
"LT0008.15",72.2755776775539
"LT0008.16",71.4917897535045
"LT0008.17",71.4224124343862
"LT0008.18",68.4031311138989
"LT0008.19",75.0793550027692
"LT0008.20",71.5702018610723
"LT0009.01",71.4391816251811
"LT0009.02",63.8806916155537
"LT0009.03",65.8911704915797
"LT0009.04",64.6104248002532
"LT0009.05",65.7124634279731
"LT0009.06",67.4644790241721
"LT0009.07",65.3405481830001
"LT0009.08",63.4169471364427
"LT0009.09",66.9686932520016
"LT0009.10",66.3511574202126
"LT0009.11",67.0006472665827
"LT0009.12",67.8556230281301
"LT0009.13",63.3459759695068
"LT0009.14",66.9287951054467
"LT0009.15",67.3095047990437
"LT0009.16",59.81708415756
"LT0009.17",67.3324235054469
"LT0009.18",67.5828448720391
"LT0009.19",63.8356438276375
"LT0009.20",65.6616146963003
"LT0009.21",65.2459967133003
"LT0009.22",64.4533210898522
"LT0009.23",64.9904466532294
"LT0009.24",65.9086734180718
"LT0009.25",69.1031288239607
"LT0010.01",67.7564995701474
"LT0010.02",67.4497149095154
"LT0010.03",66.5296139968655
"LT0010.04",65.8559784578411
"LT0010.05",69.449881533063
"LT0010.06",66.60028109227
"LT0010.07",68.2664564602177
"LT0010.08",66.0208651050572
"LT0010.09",69.4192953278984
"LT0010.10",65.415369632045
"LT0010.11",71.8027455788316
"LT0010.12",70.0822103782899
"LT0010.13",71.4235901871176
"LT0010.14",66.9873442408991
"LT0010.15",69.4461188338747
"LT0011.01",72.9234590920295
"LT0011.02",66.3319237985799
"LT0011.03",71.6100389173068
"LT0011.04",68.4617381844432
"LT0011.05",69.5250358728977
"LT0011.06",71.7648200075982
"LT0011.07",66.7264895126012
"LT0011.08",71.2863601698314
"LT0011.09",72.4594135932685
"LT0011.10",70.2762699028547
"LT0011.11",67.0841656377449
"LT0011.12",72.9206913959147
"LT0011.13",71.3701855683585
"LT0011.14",70.4768835953643
"LT0011.15",72.4961899385551
"LT0011.16",73.5859566564457
"LT0011.17",68.458800986277
"LT0011.18",69.6803240056177
"LT0011.19",72.0318973658867
"LT0011.20",70.9164452558739
"LT0011.21",70.8800853610472
"LT0011.22",70.1770083220477
"LT0011.23",74.0354774241142
